date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:43:08	127085/127085	---M-Z	200	added ('OK')	text/html	etag:%225aa47d0c-9578-405a-84c1-0d51e3070372%22	http://blog.chriskrycho.com/	blog.chriskrycho.com/index.html	(from )
22:43:09	146/146	---M-Z	200	added ('OK')	text/plain	etag:%225aa47d0c-9578-405a-84c1-0d51e3070372%22	http://blog.chriskrycho.com/robots.txt		(from )
22:43:09	3638/3638	---M-Z	200	added ('OK')	image/x-icon	etag:%225aa47d0c-9578-405a-84c1-0d51e3070372%22	http://blog.chriskrycho.com/favicon.ico	blog.chriskrycho.com/favicon.ico	(from http://blog.chriskrycho.com/)
22:43:10	224/224	---M-Z	302	error ('Moved%20Temporarily')	text/html	etag:W/%225aa47d0c-9578-405a-84c1-0d51e3070372%22	http://blog.chriskrycho.com/feeds/posts/default	blog.chriskrycho.com/feeds/posts/default.1.delayed	(from http://blog.chriskrycho.com/)
22:43:10	224/224	---M-Z	302	error ('Moved%20Temporarily')	text/html	etag:W/%225aa47d0c-9578-405a-84c1-0d51e3070372%22	http://blog.chriskrycho.com/feeds/posts/default?alt=rss	blog.chriskrycho.com/feeds/posts/default.29522.delayed	(from http://blog.chriskrycho.com/)
22:43:11	91146/91146	---M-Z	200	added ('OK')	text/html	etag:%225aa47d0c-9578-405a-84c1-0d51e3070372%22	http://blog.chriskrycho.com/p/about.html	blog.chriskrycho.com/p/about.html	(from http://blog.chriskrycho.com/)
22:43:11	91516/91516	---M-Z	200	added ('OK')	text/html	etag:%225aa47d0c-9578-405a-84c1-0d51e3070372%22	http://blog.chriskrycho.com/p/biography.html	blog.chriskrycho.com/p/biography.html	(from http://blog.chriskrycho.com/)
22:43:12	91408/91408	---M-Z	200	added ('OK')	text/html	etag:%225aa47d0c-9578-405a-84c1-0d51e3070372%22	http://blog.chriskrycho.com/2012/01/new-blogs.html	blog.chriskrycho.com/2012/01/new-blogs.html	(from http://blog.chriskrycho.com/)
22:43:13	208895/208895	---M-Z	200	added ('OK')	text/html	etag:%225aa47d0c-9578-405a-84c1-0d51e3070372%22	http://blog.chriskrycho.com/search/label/Site%20News	blog.chriskrycho.com/search/label/Site%20News.html	(from http://blog.chriskrycho.com/)
22:43:14	85608/85608	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Jan%202014%2003:43:13%20GMT	http://blog.chriskrycho.com/&target=email	blog.chriskrycho.com/&target=email.7.delayed	(from http://blog.chriskrycho.com/)
